Emisor;Instrumento;Moneda;Monto;Fecha;#Providencia
Laboratorios Chemycal's SOMA, C.A.;PC;BsS;7.000.000.000;dic 2020;282
Mercantil Servicios Financieros, C.A;PC;BsS;150.000.000.000;dic 2020;226
Destilería Carúpano, C.A.;PC;BsS;40.000.000.000;dic 2020;223
Destilería Carúpano, C.A.;PC;BsS;40.000.000.000;dic 2020;222
3PL Panamericana, C.A.;PC;BsS;10.000.000.000;dic 2020;221
3PL Panamericana, C.A.;PC;BsS;10.000.000.000;dic 2020;220
Alimentos FM, C.A. (Bio Mercados);PC;BsS;50.000.000.000;dic 2020;216
Alimentos FM, C.A. (Bio Mercados);PC;BsS;50.000.000.000;dic 2020;215
Coca Cola FEMSA de Venezuela, S.A.;PC;BsS;40.000.000.000;dic 2020;212
Coca Cola FEMSA de Venezuela, S.A.;PC;BsS;40.000.000.000;dic 2020;211
General de Alimentos Nisa, C.A. (GENICA);PC;BsS;215.984.000.000;dic 2020;210
Taurel & Cía Sucrs, C.A.;PC;BsS;4.000.000.000;dic 2020;207
Mercantil Servicios Financieros, C.A;PC;BsS;50.000.000.000;nov 2020;206
Gismicar, S.A.;PC;BsS;80.000.000.000;nov 2020;205
Gismicar, S.A.;PC;BsS;80.000.000.000;nov 2020;204
Dayco Telecom, C.A.;PC;BsS;11.000.000.000;nov 2020;203
Dayco Telecom, C.A.;PC;BsS;11.000.000.000;nov 2020;202
Dayco Telecom, C.A.;PC;BsS;11.000.000.000;nov 2020;201
Dayco Telecom, C.A.;PC;BsS;11.000.000.000;nov 2020;200
Proagro Compañía Anónima y Subsidiarias;PC;BsS;103.657.200.000;nov 2020;199
Galaxia Médica, C.A. (Locatel);PC;BsS;30.000.000.000;nov 2020;198
Galaxia Médica, C.A. (Locatel);PC;BsS;30.000.000.000;nov 2020;197
Calox International, C.A.;PC;BsS;25.000.000.000;nov 2020;196
Calox International, C.A.;PC;BsS;25.000.000.000;nov 2020;195
C.A. Ron Santa Teresa;PC;BsS;200.013.963.000;nov 2020;189
Mersan, C.A. (Grupo Merino);PC;BsS;30.000.000.000;nov 2020;182
Electrodomésticos Home Products E.H.P., C.A.;PC;BsS;1.000.000.000;oct 2020;179
Electrodomésticos Home Products E.H.P., C.A.;PC;BsS;1.000.000.000;oct 2020;178
3PL Panamericana, C.A.;PC;BsS;10.000.000.000;oct 2020;177
Dayco Telecom, C.A.;PC;BsS;11.000.000.000;oct 2020;170
Dayco Telecom, C.A.;PC;BsS;11.000.000.000;oct 2020;169
Calox International, C.A.;PC;BsS;25.000.000.000;oct 2020;168
Calox International, C.A.;PC;BsS;25.000.000.000;oct 2020;167
Calox International, C.A.;PC;BsS;25.000.000.000;oct 2020;166
Calox International, C.A.;PC;BsS;25.000.000.000;oct 2020;165
Agribrands Purina Venezuela, S.R.L;PC;BsS;30.000.000.000;oct 2020;158
Cargill de Venezuela, S.L.R;PC;BsS;80.000.000.000;oct 2020;157
Mercantil Servicios Financieros, C.A;PC;BsS;20.000.000.000;sep 2020;152
Mercantil Servicios Financieros, C.A;PC;BsS;20.000.000.000;sep 2020;151
Calox International, C.A.;PC;BsS;25.000.000.000;sep 2020;150
Calox International, C.A.;PC;BsS;25.000.000.000;sep 2020;149
NetUno, C.A.;PC;BsS;150.000.000.000;sep 2020;139
Mercantil Servicios Financieros, C.A;PC;BsS;50.000.000.000;sep 2020;138
Papeles Venezolanos, C.A. (PAVECA);PC;BsS;25.000.000.000;sep 2020;129
Steritex, C.A.;PC;BsS;40.000.000.000;sep 2020;128
Steritex, C.A.;PC;BsS;40.000.000.000;sep 2020;127
Calox International, C.A.;PC;BsS;6.000.000.000;sep 2020;120
