Emisor;Instrumento;Moneda;Monto;Fecha;#Providencia;;
Dayco Telecom, C.A.;PC;Bs;916.780;dic 2021;302;;
Agropecuaria INSA de Venezuela, C.A. (AGROINSA);PC;Bs;500.000;dic 2021;296;;
Calox International, C.A.;PC;USD;200.000;dic 2021;274;;
Calox International, C.A.;PC;USD;200.000;dic 2021;273;;
Calox International, C.A.;PC;Bs;300.000;dic 2021;272;;
Calox International, C.A.;PC;Bs;300.000;dic 2021;271;;
Calox International, C.A.;PC;Bs;300.000;dic 2021;270;;
Calox International, C.A.;PC;Bs;300.000;dic 2021;269;;
Venezolana de Proyectos Integrados Vepica, C.A.;OG;USD;200.000;dic 2021;268;;
Steritex, C.A.;PC;Bs;800.000;dic 2021;239;;
Mercantil Servicios Financieros, C.A;PC;Bs;1.254.000;dic 2021;238;;
Dayco Telecom, C.A.;PC;Bs;200.000;dic 2021;237;;
Dayco Telecom, C.A.;PC;Bs;200.000;dic 2021;236;;
Silos, Mantenimiento y Almacenamiento de Cereales, C.A. (SILMACA);PC;Bs;100.000;dic 2021;235;;
Silos, Mantenimiento y Almacenamiento de Cereales, C.A. (SILMACA);PC;Bs;100.000;dic 2021;234;;
Silos, Mantenimiento y Almacenamiento de Cereales, C.A. (SILMACA);PC;Bs;100.000;dic 2021;233;;
Silos, Mantenimiento y Almacenamiento de Cereales, C.A. (SILMACA);PC;Bs;100.000;dic 2021;232;;
C.A., Ron Santa Teresa S.A.C.A.;PC;Bs;1.386.000;dic 2021;231;;
Agropecuaria INSA de Venezuela, C.A. (AGROINSA);PC;Bs;2.305.000;nov 2021;230;;
Alma Global, C.A.;PC;Indexada;200.000;nov 2021;229;;
Grupo Nueve Once, C.A. (PYME);PC;Bs;908.000;nov 2021;227;;
Calox International, C.A.;PC;Bs;300.000;nov 2021;221;;
Calox International, C.A.;PC;Bs;300.000;nov 2021;220;;
Calox International, C.A.;PC;Bs;300.000;nov 2021;219;;
Calox International, C.A.;PC;Bs;300.000;nov 2021;218;;
Dayco Telecom, C.A.;PC;Bs;200.000;nov 2021;217;;
Dayco Telecom, C.A.;PC;Bs;200.000;nov 2021;216;;
Charcutería Venezolana, C.A. (CHARVENCA);PB;Indexada;250.000;nov 2021;215;;
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;nov 2021;212;;
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;nov 2021;211;;
Silos, Mantenimiento y Almacenamiento de Cereales, C.A. (SILMACA);PC;Bs;100.000;oct 2021;207;;
Silos, Mantenimiento y Almacenamiento de Cereales, C.A. (SILMACA);PC;Bs;100.000;oct 2021;207;;
Silos, Mantenimiento y Almacenamiento de Cereales, C.A. (SILMACA);PC;Bs;100.000;oct 2021;206;;
Silos, Mantenimiento y Almacenamiento de Cereales, C.A. (SILMACA);PC;Bs;100.000;oct 2021;205;;
Dayco Telecom, C.A.;PC;Bs;200.000;oct 2021;201;;
Dayco Telecom, C.A.;PC;Bs;200.000;oct 2021;200;;
Dismarket Express, C.A. (PYME);PC;Indexada;100.000;oct 2021;199;;
Inversiones MIDA, C.A. (PYME);PC;VUT;50.000;oct 2021;198;;
Inversiones MIDA, C.A. (PYME);PC;VUT;50.000;oct 2021;197;;
Inversiones MIDA, C.A. (PYME);PC;VUT;50.000;oct 2021;196;;
Inversiones MIDA, C.A. (PYME);PC;VUT;50.000;oct 2021;195;;
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;oct 2021;194;;
Alimentos FM, C.A. (Bio Mercados);PC;Bs;400.000;oct 2021;193;;
Silos, Mantenimiento y Almacenamiento de Cereales, C.A. (SILMACA);PC;Bs;100.000;oct 2021;192;;
Silos, Mantenimiento y Almacenamiento de Cereales, C.A. (SILMACA);PC;Bs;100.000;oct 2021;191;;
Silos, Mantenimiento y Almacenamiento de Cereales, C.A. (SILMACA);PC;Bs;100.000;oct 2021;190;;
Silos, Mantenimiento y Almacenamiento de Cereales, C.A. (SILMACA);PC;Bs;100.000;oct 2021;189;;
Mercantil Servicios Financieros, C.A;PC;Bs;1.281.840;oct 2021;188;;
Corporación Grupo Químico, C.A.;PC;VUT;100.000;sep 2021;183;;
Corporación Grupo Químico, C.A.;PC;VUT;100.000;sep 2021;182;;
Corporación Grupo Químico, C.A.;PC;VUT;100.000;sep 2021;181;;
Corporación Grupo Químico, C.A.;PC;VUT;100.000;sep 2021;180;;
Corporación Grupo Químico, C.A.;PC;VUT;100.000;sep 2021;179;;
3PL Panamericana, C.A.;PC;Bs;822.000;sep 2021;177;;
Inversiones CDE, C.A. (PYME);PC;USD;150.000;sep 2021;176;;
Calox International, C.A.;PC;Bs;300.000;sep 2021;175;;
Calox International, C.A.;PC;Bs;300.000;sep 2021;174;;
Calox International, C.A.;PC;Bs;300.000;sep 2021;173;;
Calox International, C.A.;PC;Bs;300.000;sep 2021;172;;
Alimentos FM, C.A. (Bio Mercados);PC;BsS;400.000.000.000;ago 2021;170;;
Alimentos FM, C.A. (Bio Mercados);PC;BsS;400.000.000.000;ago 2021;169;;
Grupo PHX, C.A. ;PC;BsS;826.859.610.000;ago 2021;168;;
Gismicar, S.A.;PB;BsS;2.725.576.600.000;ago 2021;167;;
Galaxia Médica, C.A. (Locatel);PC;BsS;30.000.000.000;ago 2021;163;;
Galaxia Médica, C.A. (Locatel);PC;BsS;30.000.000.000;ago 2021;162;;
Galaxia Médica, C.A. (Locatel);PC;BsS;30.000.000.000;ago 2021;161;;
Galaxia Médica, C.A. (Locatel);PC;BsS;30.000.000.000;ago 2021;160;;
Industrias Hugg 82, C.A. (PYME);PC;BsS;496.115.766.000;ago 2021;159;;
Maqveca, C.A. (PYME);PC;BsS;1.224.000.000.000;ago 2021;155;;
Calox International, C.A.;PC;BsS;300.000.000.000;ago 2021;154;;
Calox International, C.A.;PC;BsS;300.000.000.000;ago 2021;153;;
Calox International, C.A.;PC;BsS;300.000.000.000;ago 2021;152;;
Calox International, C.A.;PC;BsS;300.000.000.000;ago 2021;151;;
Comercial Belloso, C.A. (COBECA);PC;BsS;403.663.395.000;jul 2021;146;;
Comercial Belloso, C.A. (COBECA);PC;BsS;403.663.395.000;jul 2021;145;;
Comercial Belloso, C.A. (COBECA);PC;BsS;403.663.395.000;jul 2021;144;;
Comercial Belloso, C.A. (COBECA);PC;BsS;403.663.395.000;jul 2021;143;;
Tesorería YMAS, C.A.;PC;BsS;1.210.990.185.000;jul 2021;142;;
C.A. Central La Pastora;PC;BsS;100.000.000.000;jul 2021;138;;
Caja Caracas Casa de Bolsa, C.A.;PC;BsS;403.663.395.000;jul 2021;133;;
Venezolana de Proyectos Integrados Vepica, C.A.;OQ;Indexada;200.000;jul 2021;130;;
Comercializadora El Conde de Catia, C.A. (PYME);PC;BsS;120.000.000.000;jun 2021;127;;
