EMISOR;INSTRUMENTO;TIPO MONEDA;MONTO;FECHA ;#PROVIDENCIA;DICTAMEN;PROVIDENCIA;PROSPECTO
Agropecuaria San Marino;PC;;600.000;;;;;
Inversiones CDE, C.A. (PYME);PC;USD;300.000;;;;;
Alice Neumáticos de Venezuela;PC;;200.000;;;;;
Menssajero, C.A.;PC;Indexada;300.000;ago 2023;081;;;
Corporación Berakah, C.A.;PC;Indexada;300.000;ago 2023;079;;;
Compañía Venezolana de Cerámica, C.A. (VENCERÁMICA);PC;;200.000;;;;;
C.A. Ron Santa Teresa;PC;USD;300.000;jul 2023;075;;;
Fivenca Sociedad Titularizadora, C.A.;TP;Indexada;450.000;jul 2023;074;;;
Calox International, C.A.;PC;Bs;1.836.000;jun 2023;073;;;
Calox International, C.A.;PC;Bs;1.836.000;jun 2023;072;;;
Calox International, C.A.;PC;Bs;1.836.000;jun 2023;071;;;
Calox International, C.A.;PC;Bs;1.836.000;jun 2023;070;;;
Calox International, C.A.;PC;Bs;1.836.000;jun 2023;069;;;
Calox International, C.A.;PC;Bs;1.836.000;jun 2023;068;;;
Inversiones Top Suministros, C.A.;PC;Bs;400.000;jun 2023;065;;;
Dayco Telecom, C.A.;PC;USD;800.000;jun 2023;064;;;
Wi-fi Solution 7-8, C.A.;PC;Indexada;70.000;may 2023;059;;;
Mercantil Servicios Financieros, C.A.;PC;Bs;24.401.600;may 2023;057-III;;;
Mercantil Servicios Financieros, C.A.;PC;Bs;24.401.600;may 2023;057-II;;;
Mercantil Servicios Financieros, C.A.;PC;Bs;24.401.600;may 2023;057;;;
Distribuidora Agrícola Do-Gil, C.A.;PG;Indexada;150.000;may 2023;054;;;
Warao Company, C.A.;Valorem;Bs;10.000;abr 2023;052;;;
Montana Gráfica, C.A.;PC;Bs;600.000;abr 2023;051;;;
Montana Gráfica, C.A.;PC;Bs;600.000;abr 2023;050;;;
Alimentos FM, C.A. (Bio Mercados);PG;Bs;600.000;abr 2023;049;;;
Alimentos FM, C.A. (Bio Mercados);PG;Bs;600.000;abr 2023;048;;;
Multiservicios Noreverford Especialistas, C.A.;Valorem;Bs;7.000;abr 2023;047;;;
Procesadora Marsoca, C.A.;PG;USD;400.000;abr 2023;046;;;
Procesadora Marsoca, C.A.;PC;Indexada;600.000;abr 2023;045;;;
Industrias Iberia, C.A.;PC;Bs;300.000;abr 2023;044;;;
Agropecuaria Agromar, C.A. (PYME);PC;Indexada;200.000;mar 2023;039;;;
Grupo APRADOC, C.A.;PC;USD;1.000.000;mar 2023;038;;;
Procafé Lara, C.A. (PYME);PC;Indexada;500.000;mar 2023;037;;;
Agrícola La Cumbre, C.A. (PYME);PC;Indexada;350.000;mar 2023;035;;;
Agrícola La Cumbre, C.A. (PYME);OQ;Indexada;350.000;mar 2023;034;;;
Compañía Venezolana de Cerámica, C.A. (VENCERÁMICA);PC;Bs;200.000;mar 2023;032;;;
Calox International, C.A.;PC;USD;300.000;mar 2023;031;;;
Corporación Telemic, C.A. (INTER);PC;Indexada;2.000.000;feb 2023;030;;;
Alma Global, C.A.;PC;Indexada;500.000;feb 2023;026;;;
Grupo Nueve Once, C.A. (PYME);PC;Indexada;400.000;feb 2023;023;;;
Alimentos FM, C.A. (Bio Mercados);PC;Bs;800.000;feb 2023;020;;;
Alimentos FM, C.A. (Bio Mercados);PC;Bs;800.000;feb 2023;019;;;
Alimentos FM, C.A. (Bio Mercados);PC;Bs;800.000;feb 2023;018;;;
Alimentos FM, C.A. (Bio Mercados);PC;Bs;800.000;feb 2023;017;;;
Alimentos FM, C.A. (Bio Mercados);PC;Bs;800.000;feb 2023;016;;;
Lucky Trade, C.A.;PC;Indexada;300.000;feb 2023;014;;;
Maqveca, C.A. (PYME);PC;Indexada;300.000;ene 2023;009;;;
Titularizadora Nuevovalor, C.A.;TP;Bs;12.000.000;ene 2023;008;;;
Agropecuaria San Carlos, S.A.C.A.;PC;Indexada;500.000;ene 2023;002;;;
Central Mesopotamia, C.A.;Valorem;Bs;10.000;ene 2023;001;;;
